,Unnamed: 0,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
260,264,Ragha Homestay,Vacation Home,Batukaras Pangandaran,Jl. Sanghiangkalang. Batukaras. Cijulang. Pangandaran. Jawa Barat,4.8,1000000,1000000,-7.743780136108398,108.49565887451172
261,265,RedDoorz near Citimall Sukabumi,Hotel,Cikole Sukabumi,Jl. A. Yani No.283. Kebonjati. Kec. Cikole. Kota Sukabumi. Jawa Barat 43111. Indonesia,3.8,216931,270722,-6.923169,106.933227
262,266,Villa Anyelir Yustik RedPartner,Hotel,Sukaraja Sukabumi,Jl. Pd. Halimun Jl. Selabintana No.Km. 7. Perbawati. Kec. Sukabumi. Kabupaten Sukabumi. Jawa Barat 43151,3.6,175500,234000,-6.874099,106.944466
263,267,RedDoorz near Pantai Ujung Genteng,Hotel,Ciracap Sukabumi,'Jl. Ciburial. Ujung Genteng. Ciracap' 'Jawa Barat',4.0,110540,211470,-7.355040073394775,106.40411376953124
264,268,RedDoorz Syariah near Wisata Situ Gunung Sukabumi,Hotel,Sukabumi Sukabumi,Jl. Kadudampit KM.6 No.58. Gede Pangrango. Kec. Cisaat. Sukabumi Regency. Jawa Barat 43153. Indonesia,3.8,95226,167670,-6.85992,106.919771
265,269,SPOT ON 2750 Ayu Homestay Syariah,Hotel,Cikembar Sukabumi,39. Kamp Sampora .RT 2 RW 5. Desa Bojong Raharja. Kec Sikembar. Kab Sukabumi No. 39. Kode Pos 43161. Sukabumi,3.4,52030,74800,-6.979612,106.830756
266,270,RedDoorz Plus @ Grand Yustik Sukabumi,Resort,Sukaraja Sukabumi,Jalan Selabintana KM 7. Sundajaya Girang. Kec. Sukabumi. Sukabumi. Jawa Barat 43151. Indonesia,4.0,149523,224285,-6.868958,106.951604
267,271,Bittersweet,Guest House,Cibadak Sukabumi,Jl. Perintis Kemerdekaan. Gg Irlin No.5 (belakang food court Omah Konco),3.6,156800,176400,-6.894072,106.785118
268,272,Villa Balekambang Ciletuh,Guest House,Ciemas Sukabumi,Jalan Cimarinjung. Ciwaru. Ciemas. Ciwaru. Kec. Ciemas. Kabupaten Sukabumi. Jawa Barat 43177,Belum ada rating,201000,1607000,-7.175108,106.467323
269,273,RedDoorz near Pantai Citepus Pelabuhan Ratu,Hotel,Cisolok Sukabumi,Citepus Indah Hotel. Citepus. Pelabuhanratu. Sukabumi. West Java 43364. Indonesia,3.8,141383,184275,-6.970244,106.52203
270,274,Villa Anyelir Yustik,Hotel,Sukaraja Sukabumi,No.Km Jl. Pd. Halimun,2.8,110540,166434,-6.874102193012334,106.94447798369777
